iter	MultiClass
0	1.091353497
1	1.088114459
2	1.084946874
3	1.083292562
4	1.08195943
5	1.079897423
6	1.076870489
7	1.070617526
8	1.06287195
9	1.058348808
10	1.058124728
11	1.051872028
12	1.041264927
13	1.035119365
14	1.03171598
15	1.02719032
16	1.02534561
17	1.019140606
18	1.011120335
19	1.005310836
20	0.999545186
21	0.993696015
22	0.9881869586
23	0.9820429182
24	0.9762669684
25	0.973247666
26	0.9685306634
27	0.9621309409
28	0.9601125484
29	0.9527284712
30	0.9448573953
31	0.9372613224
32	0.9306424414
33	0.9247167165
34	0.9180286377
35	0.9125876873
36	0.9058792482
37	0.8998223363
38	0.8949138844
39	0.8916563261
40	0.8847041695
41	0.8812337731
42	0.8742512367
43	0.8691506314
44	0.8642370508
45	0.8591850506
46	0.8553512568
47	0.84883875
48	0.8432693085
49	0.8398343997
50	0.8342161111
51	0.8285138446
52	0.826137248
53	0.8205116918
54	0.816461832
55	0.8145991553
56	0.8072578504
57	0.8015908664
58	0.7976812082
59	0.7954656457
60	0.7906307898
61	0.7862989851
62	0.7819690311
63	0.7785373543
64	0.7766201106
65	0.7726647156
66	0.7669512801
67	0.7628516441
68	0.7581877228
69	0.7520318871
70	0.7473264662
71	0.7446857845
72	0.7389856806
73	0.7376966554
74	0.7338058573
75	0.7305984245
76	0.7261055318
77	0.7208951036
78	0.7149956681
79	0.7116153471
80	0.7090346292
81	0.7068182861
82	0.7016549987
83	0.6979966657
84	0.6919685577
85	0.6890593504
86	0.6834864716
87	0.6777364187
88	0.6731176066
89	0.669338423
90	0.6657528793
91	0.6634896915
92	0.6612912401
93	0.6591841576
94	0.6561723907
95	0.6545725341
96	0.650636568
97	0.6493933062
98	0.6469095533
99	0.6441603971
100	0.6405745562
101	0.6362432068
102	0.6325803473
103	0.6273039305
104	0.62302176
105	0.6190427532
106	0.6166570742
107	0.6138793372
108	0.6126352806
109	0.6102239207
110	0.6066041233
111	0.6054075656
112	0.6027984637
113	0.6001955285
114	0.5976781848
115	0.5932804752
116	0.5898653166
117	0.5856594426
118	0.5845104216
119	0.5823444319
120	0.577562395
121	0.5762287257
122	0.5742869935
123	0.5689948111
124	0.5664697372
125	0.5621755161
126	0.5589421452
127	0.5567188309
128	0.5517606315
129	0.5494311721
130	0.545910176
131	0.5424630644
132	0.5379252488
133	0.5356898555
134	0.5325830221
135	0.5298793185
136	0.5262988358
137	0.5239747306
138	0.5220623949
139	0.5192249682
140	0.516626909
141	0.5151535952
142	0.5129662974
143	0.5117327848
144	0.5099597129
145	0.5069355885
146	0.504807404
147	0.5024553761
148	0.4982183127
149	0.4955076326
150	0.4927134199
151	0.4891766971
152	0.484825086
153	0.4798991441
154	0.4780103791
155	0.4758344832
156	0.4747102637
157	0.4708681299
158	0.4691708296
159	0.4669913687
160	0.4647394365
161	0.4617852698
162	0.4591313083
163	0.4577222386
164	0.4540972594
165	0.4519487512
166	0.4494198284
167	0.447377449
168	0.4444657236
169	0.4417019649
170	0.4401575222
171	0.4376784383
172	0.4347876195
173	0.433486331
174	0.4316707601
175	0.4286601383
176	0.4268066681
177	0.4244570307
178	0.422256433
179	0.4211914312
180	0.4191995617
181	0.4171354145
182	0.415358038
183	0.413068352
184	0.4111342828
185	0.4073837702
186	0.4046515325
187	0.403225952
188	0.4015109398
189	0.3993704403
190	0.3974134255
191	0.3960519004
192	0.3929847688
193	0.3912687761
194	0.3898143295
195	0.3878017693
196	0.3858149535
197	0.38198869
198	0.3811012176
199	0.3792726597
200	0.3767279373
201	0.3757898896
202	0.3735787821
203	0.3712063549
204	0.3679124473
205	0.3656879487
206	0.3642568029
207	0.3632255134
208	0.3618997327
209	0.3602142422
210	0.3591143484
211	0.3578958561
212	0.3554865052
213	0.3539281478
214	0.3529574308
215	0.3520391845
216	0.3511496049
217	0.3487620231
218	0.3465553055
219	0.345233676
220	0.3441855035
221	0.3438719396
222	0.3410674804
223	0.339334199
224	0.3388417569
225	0.3367997277
226	0.3354087854
227	0.3341519973
228	0.332329915
229	0.3311671369
230	0.3295990961
231	0.3287919006
232	0.3280575094
233	0.325725894
234	0.3247102008
235	0.3230738194
236	0.3219017216
237	0.3212109371
238	0.3207026446
239	0.3199322915
240	0.3176682123
241	0.3171437407
242	0.3157260755
243	0.3141225383
244	0.3122845827
245	0.3117640461
246	0.3106787131
247	0.3089170239
248	0.307087212
249	0.3056813885
250	0.3046142901
251	0.3038827007
252	0.3032468584
253	0.3019097884
254	0.3001121355
255	0.299374943
256	0.2974471475
257	0.2973037081
258	0.2956227885
259	0.2949558392
260	0.2944732803
261	0.2928098152
262	0.2920283103
263	0.2912634804
264	0.2897641041
265	0.2882308638
266	0.2864249517
267	0.2852288494
268	0.2839106403
269	0.2825571151
270	0.2815820451
271	0.2806621574
272	0.2792244139
273	0.2784866275
274	0.2777111682
275	0.2758789362
276	0.2748524873
277	0.273165424
278	0.2725754538
279	0.2707992164
280	0.2699948838
281	0.2693494405
282	0.267688827
283	0.26636741
284	0.2659017291
285	0.2645717968
286	0.2633841846
287	0.2625233773
288	0.2617747961
289	0.260462118
290	0.2593761278
291	0.2580448405
292	0.257151433
293	0.2559944933
294	0.2554442612
295	0.2546588812
296	0.2532865937
297	0.2518870995
298	0.2509297432
299	0.2494312032
300	0.2484295389
301	0.2466920059
302	0.2460456108
303	0.2441741058
304	0.2428301982
305	0.2418080281
306	0.2413578234
307	0.2399491714
308	0.2390742949
309	0.2382750932
310	0.237598625
311	0.2365746737
312	0.2349652145
313	0.2335065785
314	0.2319398346
315	0.2310038211
316	0.2299669566
317	0.229222303
318	0.2281484289
319	0.2274707445
320	0.2260753077
321	0.2245951036
322	0.223366577
323	0.2225810928
324	0.2214902454
325	0.2202541291
326	0.2191718615
327	0.2184873232
328	0.2170898599
329	0.2160598212
330	0.2153034623
331	0.2146130432
332	0.2135798523
333	0.2128166787
334	0.2126181499
335	0.2121391873
336	0.2116154642
337	0.2105478279
338	0.2099754264
339	0.209076484
340	0.2081144832
341	0.2067961534
342	0.205778697
343	0.2053140136
344	0.2038098356
345	0.203243111
346	0.2021340306
347	0.2011179982
348	0.1995484572
349	0.1983044981
350	0.1975077834
351	0.196434304
352	0.1952339397
353	0.1945268989
354	0.1937964457
355	0.1922870803
356	0.1919704843
357	0.1913025653
358	0.1907277168
359	0.1899176639
360	0.1892141823
361	0.1883633358
362	0.1877972793
363	0.1874551911
364	0.1866676234
365	0.1858494957
366	0.1852328274
367	0.1839068473
368	0.1828830405
369	0.1817363649
370	0.1810929883
371	0.1800853718
372	0.1792947412
373	0.1787225918
374	0.1777947869
375	0.1770006385
376	0.1760897144
377	0.1752884173
378	0.1743655588
379	0.173948612
380	0.1729087669
381	0.1722569264
382	0.1714757834
383	0.1707564523
384	0.1702776302
385	0.168980654
386	0.1685918626
387	0.1679311254
388	0.1671752314
389	0.1667266988
390	0.166076362
391	0.1655060668
392	0.1648832523
393	0.1643294253
394	0.1636446398
395	0.163244901
396	0.1626313396
397	0.1618339807
398	0.1613120202
399	0.1603631739
400	0.1592354862
401	0.158471294
402	0.1577777914
403	0.1573123183
404	0.1567421092
405	0.1561419774
406	0.1557516195
407	0.154807349
408	0.1543489973
409	0.1539145786
410	0.1526804018
411	0.1522486738
412	0.1519724063
413	0.1512690284
414	0.1507829656
415	0.1500708435
416	0.1494470459
417	0.1489329846
418	0.1483667913
419	0.1479450541
420	0.1473571961
421	0.146778217
422	0.1465479908
423	0.1458632609
424	0.1455163678
425	0.1446165931
426	0.1442876865
427	0.1440572267
428	0.1436056378
429	0.1426168363
430	0.1420372022
431	0.1417647926
432	0.1413307379
433	0.140862074
434	0.1403252504
435	0.139997967
436	0.1394694785
437	0.1387014133
438	0.1381941778
439	0.1376587907
440	0.1371818976
441	0.1364483209
442	0.136165515
443	0.135751307
444	0.1352444111
445	0.1347663409
446	0.1343918577
447	0.1338775305
448	0.1331310264
449	0.1325609969
450	0.1322171931
451	0.132024855
452	0.1313894031
453	0.1308948122
454	0.1302736977
455	0.1300731192
456	0.1294477686
457	0.1291600858
458	0.1287784363
459	0.1287123656
460	0.1281120793
461	0.1275989089
462	0.1271378746
463	0.1269109333
464	0.1267191283
465	0.1260756942
466	0.1256835227
467	0.1253943365
468	0.1246521466
469	0.124247672
470	0.123549767
471	0.1229594191
472	0.1223529705
473	0.12189027
474	0.1214315264
475	0.1211501548
476	0.1207813381
477	0.1203486731
478	0.1198161606
479	0.1194922635
480	0.1192568681
481	0.1189480743
482	0.118520107
483	0.1181618489
484	0.1177074144
485	0.1174312099
486	0.1171913396
487	0.116847358
488	0.1161845041
489	0.1158051634
490	0.115294772
491	0.1151058781
492	0.1146755571
493	0.114321414
494	0.113942837
495	0.1134317678
496	0.112955808
497	0.1126462845
498	0.1122471877
499	0.1118290571
