iter	Passed	Remaining
0	202	101274
1	272	67947
2	339	56305
3	408	50626
4	486	48160
5	555	45703
6	621	43803
7	691	42526
8	781	42644
9	859	42109
10	891	39610
11	955	38844
12	1025	38409
13	1094	37978
14	1160	37535
15	1227	37127
16	1295	36817
17	1364	36530
18	1430	36214
19	1494	35873
20	1563	35655
21	1628	35390
22	1703	35336
23	1772	35156
24	1836	34884
25	1897	34599
26	1960	34337
27	2023	34114
28	2091	33966
29	2161	33858
30	2225	33671
31	2293	33538
32	2361	33413
33	2427	33268
34	2488	33059
35	2554	32925
36	2625	32856
37	2697	32800
38	2766	32698
39	2831	32565
40	2902	32498
41	2969	32382
42	3039	32299
43	3108	32217
44	3174	32093
45	3241	31990
46	3307	31874
47	3374	31773
48	3441	31676
49	3511	31602
50	3582	31542
51	3652	31468
52	3718	31365
53	3791	31317
54	3858	31220
55	3928	31145
56	3995	31052
57	4061	30954
58	4122	30816
59	4186	30699
60	4249	30585
61	4319	30517
62	4389	30448
63	4455	30353
64	4518	30241
65	4583	30142
66	4643	30008
67	4704	29889
68	4766	29770
69	4832	29685
70	4893	29570
71	4961	29495
72	5030	29425
73	5122	29486
74	5213	29540
75	5285	29486
76	5358	29437
77	5425	29355
78	5501	29317
79	5585	29323
80	5670	29331
81	5745	29290
82	5825	29266
83	5896	29203
84	5966	29130
85	6044	29097
86	6112	29015
87	6179	28932
88	6247	28851
89	6317	28780
90	6405	28790
91	6489	28778
92	6610	28931
93	6689	28892
94	6770	28865
95	6849	28825
96	6920	28751
97	6991	28678
98	7069	28636
99	7143	28575
100	7235	28585
101	7316	28547
102	7385	28466
103	7455	28390
104	7529	28326
105	7604	28266
106	7683	28221
107	7764	28182
108	7835	28106
109	7916	28068
110	7987	27992
111	8055	27905
112	8120	27812
113	8192	27737
114	8259	27651
115	8325	27560
116	8392	27472
117	8462	27397
118	8532	27318
119	8598	27228
120	8665	27142
121	8734	27062
122	8801	26975
123	8867	26887
124	8936	26808
125	9007	26736
126	9076	26656
127	9142	26569
128	9210	26487
129	9285	26426
130	9352	26342
131	9419	26260
132	9489	26186
133	9568	26134
134	9635	26052
135	9699	25960
136	9767	25880
137	9838	25808
138	9904	25722
139	9970	25638
140	10038	25558
141	10117	25507
142	10188	25435
143	10254	25351
144	10338	25312
145	10423	25273
146	10496	25204
147	10573	25148
148	10651	25092
149	10727	25031
150	10805	24973
151	10886	24924
152	10972	24884
153	11054	24837
154	11125	24764
155	11194	24685
156	11265	24612
157	11341	24550
158	11437	24528
159	11521	24482
160	11615	24457
161	11699	24409
162	11779	24352
163	11856	24291
164	11937	24237
165	12017	24180
166	12086	24101
167	12158	24026
168	12230	23954
169	12304	23884
170	12382	23824
171	12462	23765
172	12540	23703
173	12613	23633
