timestamp,gearbox_oil_temp,gearbox_bearing_temp,vibration_x,vibration_y,vibration_z,oil_pressure,particle_count
2025-01-01 00:00:00,59.24,65.85,0.0109,0.0092,0.013,4.53,100
2025-01-01 00:10:00,60.12,66.83,0.0076,0.0065,0.0092,4.48,100
2025-01-01 00:20:00,59.5,65.16,0.016,0.0136,0.0193,4.53,100
2025-01-01 00:30:00,60.28,65.8,0.0164,0.014,0.0197,4.54,100
2025-01-01 00:40:00,60.72,66.84,0.0177,0.0151,0.0213,4.49,100
2025-01-01 00:50:00,60.01,65.62,0.0144,0.0122,0.0172,4.49,100
2025-01-01 01:00:00,60.76,66.81,0.0067,0.0057,0.008,4.52,100
2025-01-01 01:10:00,60.89,70.27,0.0121,0.0103,0.0145,4.43,100
2025-01-01 01:20:00,62.78,67.88,0.0158,0.0135,0.019,4.56,100
2025-01-01 01:30:00,61.0,67.54,0.0137,0.0116,0.0164,4.51,100
2025-01-01 01:40:00,60.26,66.43,0.0114,0.0096,0.0136,4.44,100
2025-01-01 01:50:00,60.83,67.53,0.0086,0.0073,0.0103,4.53,100
2025-01-01 02:00:00,62.39,69.35,0.011,0.0094,0.0132,4.48,100
2025-01-01 02:10:00,62.11,68.84,0.0133,0.0113,0.0159,4.56,100
2025-01-01 02:20:00,62.45,67.67,0.0112,0.0095,0.0134,4.46,100
2025-01-01 02:30:00,61.58,66.63,0.0123,0.0105,0.0148,4.49,100
2025-01-01 02:40:00,62.11,68.52,0.0103,0.0087,0.0123,4.52,100
2025-01-01 02:50:00,62.33,67.63,0.0097,0.0083,0.0117,4.5,100
2025-01-01 03:00:00,62.08,69.28,0.0109,0.0093,0.0131,4.54,100
2025-01-01 03:10:00,62.33,68.66,0.0148,0.0126,0.0178,4.51,100
2025-01-01 03:20:00,62.45,68.4,0.0162,0.0138,0.0195,4.46,100
2025-01-01 03:30:00,62.95,69.8,0.0141,0.012,0.0169,4.54,100
2025-01-01 03:40:00,62.87,68.27,0.0114,0.0097,0.0137,4.49,100
2025-01-01 03:50:00,63.36,72.67,0.0076,0.0064,0.0091,4.55,100
2025-01-01 04:00:00,61.45,67.19,0.0076,0.0065,0.0092,4.47,100
2025-01-01 04:10:00,63.22,69.56,0.0117,0.0099,0.014,4.53,100
